repo,url,stars,loc
rafaelhbrasil/csharp_async_examples,https://github.com/rafaelhbrasil/csharp_async_examples,0,819
CanAISolutions/canai-cursor-codex-v6.1.4,https://github.com/CanAISolutions/canai-cursor-codex-v6.1.4,0,805969
ekacs/K6-script-collection,https://github.com/ekacs/K6-script-collection,0,1390
pwllxqc/amelichka,https://github.com/pwllxqc/amelichka,0,1582
lgjsherond/TechHubDemo,https://github.com/lgjsherond/TechHubDemo,2,192
getcord/cord,https://github.com/getcord/cord,104,1274328
igorbrandao18/watch-test-backend,https://github.com/igorbrandao18/watch-test-backend,0,21658
vimthelights/calculator,https://github.com/vimthelights/calculator,0,37628
HeyCW/akademi-koding-performance-testing,https://github.com/HeyCW/akademi-koding-performance-testing,0,15307
Gapminder/small-waffle,https://github.com/Gapminder/small-waffle,0,2523
ruanbekker/grafana-observability-primer,https://github.com/ruanbekker/grafana-observability-primer,40,1632
zidane-itb/APKS,https://github.com/zidane-itb/APKS,0,1725
joanlopez/xk6-aws,https://github.com/joanlopez/xk6-aws,2,3624
wizenheimer/periscope,https://github.com/wizenheimer/periscope,8,8755
FalkFlow/api-php,https://github.com/FalkFlow/api-php,0,17975
metasfresh/metasfresh,https://github.com/metasfresh/metasfresh,2158,7125289
ducnt114/go-getting-started,https://github.com/ducnt114/go-getting-started,1,312
ONLYOFFICE/DocSpace-stress-tests,https://github.com/ONLYOFFICE/DocSpace-stress-tests,1,8422
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,0,753872
S6-LT/LumbridgeTimes,https://github.com/S6-LT/LumbridgeTimes,0,82684
stellio-hub/ngsild-load-tests,https://github.com/stellio-hub/ngsild-load-tests,0,3740
EscolaDnc/TesteEstabilidade,https://github.com/EscolaDnc/TesteEstabilidade,0,68
fishperson113/ticklab-challenge,https://github.com/fishperson113/ticklab-challenge,0,37609
Qwitter/Qwitter-Testing,https://github.com/Qwitter/Qwitter-Testing,2,30812
born-to-be-mad/azure-experiments,https://github.com/born-to-be-mad/azure-experiments,0,977
CryptoJym/ai-agent-village-monitor,https://github.com/CryptoJym/ai-agent-village-monitor,0,153946
pdellaert/fbw-aircraft-git-lfs,https://github.com/pdellaert/fbw-aircraft-git-lfs,0,789595
saint1991/samples,https://github.com/saint1991/samples,0,36882
ozontech/seq-db,https://github.com/ozontech/seq-db,98,303521
izhigalko/otus-demo-istio,https://github.com/izhigalko/otus-demo-istio,4,2061
lemonson03/load-test-template,https://github.com/lemonson03/load-test-template,0,451
cabinetoffice/GCGS-Central-Digital-Platform,https://github.com/cabinetoffice/GCGS-Central-Digital-Platform,5,715099
rogatka/advertisements,https://github.com/rogatka/advertisements,0,27028
RavinduWeerakoon/front,https://github.com/RavinduWeerakoon/front,0,40282
nadiaalnd/Performance-Test-Adameds-V3,https://github.com/nadiaalnd/Performance-Test-Adameds-V3,0,9130
ignacioSuay/cloud-sql-performance-tests,https://github.com/ignacioSuay/cloud-sql-performance-tests,0,1335
Krithikeswaranmk/final_helyxon,https://github.com/Krithikeswaranmk/final_helyxon,0,217304
torbendury/kube-networkpolicy-denier,https://github.com/torbendury/kube-networkpolicy-denier,2,2024
kithekadk/Employee-management-system,https://github.com/kithekadk/Employee-management-system,1,44290
azophy/loadtest-tools-benchmark,https://github.com/azophy/loadtest-tools-benchmark,7,1996
philipheferreira/Curso-teste-performance-com-K6,https://github.com/philipheferreira/Curso-teste-performance-com-K6,0,2796
pgj/couchdb-k6,https://github.com/pgj/couchdb-k6,0,1556
algotouch/algotouch-app,https://github.com/algotouch/algotouch-app,0,65684
hitansh-tria/LoadTesting,https://github.com/hitansh-tria/LoadTesting,0,2299878
elrison/teste-desempenho-teastore,https://github.com/elrison/teste-desempenho-teastore,0,9012
jihadelsayed/Neetechs_Chain,https://github.com/jihadelsayed/Neetechs_Chain,0,2460
jsvitorm/ponderadasemana9m9,https://github.com/jsvitorm/ponderadasemana9m9,0,364
algonacci/k6-demo,https://github.com/algonacci/k6-demo,0,851
jpandof/sinfon-ia,https://github.com/jpandof/sinfon-ia,0,4249
marcosborges/terraform-aws-loadtest-distribuited,https://github.com/marcosborges/terraform-aws-loadtest-distribuited,46,2745
cognoco/User-Mgmt,https://github.com/cognoco/User-Mgmt,0,251301
yunhalee05/walkerholic,https://github.com/yunhalee05/walkerholic,0,87690
thomas-chiang/k6_sharing,https://github.com/thomas-chiang/k6_sharing,0,1151
aziemp66/learn-k6,https://github.com/aziemp66/learn-k6,0,9364
JavierSpartan-117/SQA_Semana_9,https://github.com/JavierSpartan-117/SQA_Semana_9,0,101
olgaStadnyk/k6-learning,https://github.com/olgaStadnyk/k6-learning,0,73366
laszlo-igaz-ah/cloudx-java-developer,https://github.com/laszlo-igaz-ah/cloudx-java-developer,0,11497
576576/hadesbot-lite,https://github.com/576576/hadesbot-lite,0,733
JoaoChoma/testedesoftware2025,https://github.com/JoaoChoma/testedesoftware2025,2,18762
CrispinManda/Talky-the-Project.,https://github.com/CrispinManda/Talky-the-Project.,0,41370
RemoteState/load-testing-tutorial,https://github.com/RemoteState/load-testing-tutorial,0,286
shamir92/go-boilerplate,https://github.com/shamir92/go-boilerplate,2,4528
DimDev/php-runtimes-benchmark,https://github.com/DimDev/php-runtimes-benchmark,35,8994
janbraunsdorff/catan,https://github.com/janbraunsdorff/catan,0,18540
firmansyah-github/quarkus-generated-test,https://github.com/firmansyah-github/quarkus-generated-test,0,220180
mentalclear/k6-project,https://github.com/mentalclear/k6-project,0,31
col3name/balance-service,https://github.com/col3name/balance-service,0,6230
arslanrao991/zzreal_worriors,https://github.com/arslanrao991/zzreal_worriors,1,20082
lucasguerra12/AV3,https://github.com/lucasguerra12/AV3,0,23467
tgskyline/performancetest-k6,https://github.com/tgskyline/performancetest-k6,0,1716
habyyb/CD-AdvancedDigitalIQ,https://github.com/habyyb/CD-AdvancedDigitalIQ,1,97739
yudas-programador/Pruebas-de-integracion,https://github.com/yudas-programador/Pruebas-de-integracion,0,166
truonghd113hd/testCI,https://github.com/truonghd113hd/testCI,0,28335
lucasjct/k6-udemy,https://github.com/lucasjct/k6-udemy,0,1519
PraveenAsthana123/cypresstesting,https://github.com/PraveenAsthana123/cypresstesting,0,27216
nyyshaaa/backend-app-complete,https://github.com/nyyshaaa/backend-app-complete,0,19445
Ranj0z/Events-Ticketing-System,https://github.com/Ranj0z/Events-Ticketing-System,0,19600
ronansay/next-web-app,https://github.com/ronansay/next-web-app,0,21052
sourcegraph/k6,https://github.com/sourcegraph/k6,5,1250
TheMech4nic/Multi_Vendor_Data_Fetch,https://github.com/TheMech4nic/Multi_Vendor_Data_Fetch,0,1812
iago-abner/k6,https://github.com/iago-abner/k6,0,3922
jeromeguillaume/kong-plugin-soap-xml-handling,https://github.com/jeromeguillaume/kong-plugin-soap-xml-handling,4,162803
etalazz/vsa,https://github.com/etalazz/vsa,28,22324
evc8p/gehtsoft-study,https://github.com/evc8p/gehtsoft-study,0,8745
jeffascript/k6-load-testing,https://github.com/jeffascript/k6-load-testing,0,8345
saifulazad/collections,https://github.com/saifulazad/collections,0,1064
ToYou-Sparta/oddventure,https://github.com/ToYou-Sparta/oddventure,0,19180
kimdh-hi/spring-study,https://github.com/kimdh-hi/spring-study,3,92962
HellRok/jstris-companion,https://github.com/HellRok/jstris-companion,1,408
duongnv129/ory-self-hosted,https://github.com/duongnv129/ory-self-hosted,0,61826
ethanshi2026/Dr_Lin_Class,https://github.com/ethanshi2026/Dr_Lin_Class,0,129147
metrico/qryn-bench,https://github.com/metrico/qryn-bench,3,4032
likesistemas/nginx,https://github.com/likesistemas/nginx,0,1613
GualterAlbino/WebServiceK6,https://github.com/GualterAlbino/WebServiceK6,2,2823
Spaceona/backend-go,https://github.com/Spaceona/backend-go,0,2604
UKHO/exchange-set-service,https://github.com/UKHO/exchange-set-service,7,183369
effectmoe/ai-accounting-system,https://github.com/effectmoe/ai-accounting-system,0,925414
rpampin/elevate-ai-replit-modern,https://github.com/rpampin/elevate-ai-replit-modern,0,100721
Timsl1401/Kosc-Spitsenspel,https://github.com/Timsl1401/Kosc-Spitsenspel,0,46996
LukhasAI/Lukhas,https://github.com/LukhasAI/Lukhas,1,10569213
Dmitriihub/studyproject2,https://github.com/Dmitriihub/studyproject2,0,64386
Guspex/EBAC-QA,https://github.com/Guspex/EBAC-QA,0,710495
MateusNeres26/EBAC-QA,https://github.com/MateusNeres26/EBAC-QA,0,297218
agussyahrilmubarok/course-assignments,https://github.com/agussyahrilmubarok/course-assignments,0,508401
farhanlabib/xk6-file-sample-project,https://github.com/farhanlabib/xk6-file-sample-project,0,4269662
wildananugrah/belajar,https://github.com/wildananugrah/belajar,0,1079184
zitadel/zitadel,https://github.com/zitadel/zitadel,0,1158255
logsk85-wq/iagentic,https://github.com/logsk85-wq/iagentic,0,12096209
